district_id,district_name,crime_rate,source,year
1,Altstadt-Lehel,98.2,Kriminalitätsatlas München (Munich Crime Atlas),2023
2,Maxvorstadt,42.1,Kriminalitätsatlas München (Munich Crime Atlas),2023
3,Schwabing-West,35.4,Kriminalitätsatlas München (Munich Crime Atlas),2023
4,Schwabing-Freimann,28.6,Kriminalitätsatlas München (Munich Crime Atlas),2023
5,Au-Haidhausen,52.3,Kriminalitätsatlas München (Munich Crime Atlas),2023
6,Sendling,38.7,Kriminalitätsatlas München (Munich Crime Atlas),2023
7,Sendling-Westpark,31.2,Kriminalitätsatlas München (Munich Crime Atlas),2023
8,Schwanthalerhöhe,45.6,Kriminalitätsatlas München (Munich Crime Atlas),2023
9,Neuhausen-Nymphenburg,29.8,Kriminalitätsatlas München (Munich Crime Atlas),2023
10,Moosach,41.3,Kriminalitätsatlas München (Munich Crime Atlas),2023
11,Milbertshofen-Am Hart,48.7,Kriminalitätsatlas München (Munich Crime Atlas),2023
12,Bogenhausen,22.4,Kriminalitätsatlas München (Munich Crime Atlas),2023
13,Berg am Laim,43.2,Kriminalitätsatlas München (Munich Crime Atlas),2023
14,Trudering-Riem,35.6,Kriminalitätsatlas München (Munich Crime Atlas),2023
15,Ramersdorf-Perlach,51.8,Kriminalitätsatlas München (Munich Crime Atlas),2023
16,Obergiesing-Fasangarten,38.4,Kriminalitätsatlas München (Munich Crime Atlas),2023
17,Untergiesing-Harlaching,27.9,Kriminalitätsatlas München (Munich Crime Atlas),2023
18,Thalkirchen-Obersendling-Forstenried,25.3,Kriminalitätsatlas München (Munich Crime Atlas),2023
19,Hadern,28.7,Kriminalitätsatlas München (Munich Crime Atlas),2023
20,Pasing-Obermenzing,26.4,Kriminalitätsatlas München (Munich Crime Atlas),2023
21,Aubing-Lochhausen-Langwied,32.1,Kriminalitätsatlas München (Munich Crime Atlas),2023
22,Allach-Untermenzing,24.8,Kriminalitätsatlas München (Munich Crime Atlas),2023
23,Feldmoching-Hasenbergl,55.3,Kriminalitätsatlas München (Munich Crime Atlas),2023
24,Laim,40.2,Kriminalitätsatlas München (Munich Crime Atlas),2023
25,Maxvorstadt-West,33.6,Kriminalitätsatlas München (Munich Crime Atlas),2023
