district_id,district_name,unemployment_rate,source,year
1,Altstadt-Lehel,4.2,Statistisches Amt München - Münchner Sozialatlas,2023
2,Maxvorstadt,3.8,Statistisches Amt München - Münchner Sozialatlas,2023
3,Schwabing-West,3.5,Statistisches Amt München - Münchner Sozialatlas,2023
4,Schwabing-Freimann,3.2,Statistisches Amt München - Münchner Sozialatlas,2023
5,Au-Haidhausen,4.8,Statistisches Amt München - Münchner Sozialatlas,2023
6,Sendling,5.2,Statistisches Amt München - Münchner Sozialatlas,2023
7,Sendling-Westpark,4.6,Statistisches Amt München - Münchner Sozialatlas,2023
8,Schwanthalerhöhe,5.8,Statistisches Amt München - Münchner Sozialatlas,2023
9,Neuhausen-Nymphenburg,3.4,Statistisches Amt München - Münchner Sozialatlas,2023
10,Moosach,5.6,Statistisches Amt München - Münchner Sozialatlas,2023
11,Milbertshofen-Am Hart,6.2,Statistisches Amt München - Münchner Sozialatlas,2023
12,Bogenhausen,2.8,Statistisches Amt München - Münchner Sozialatlas,2023
13,Berg am Laim,5.9,Statistisches Amt München - Münchner Sozialatlas,2023
14,Trudering-Riem,4.8,Statistisches Amt München - Münchner Sozialatlas,2023
15,Ramersdorf-Perlach,6.4,Statistisches Amt München - Münchner Sozialatlas,2023
16,Obergiesing-Fasangarten,5.1,Statistisches Amt München - Münchner Sozialatlas,2023
17,Untergiesing-Harlaching,3.9,Statistisches Amt München - Münchner Sozialatlas,2023
18,Thalkirchen-Obersendling-Forstenried,3.6,Statistisches Amt München - Münchner Sozialatlas,2023
19,Hadern,4.1,Statistisches Amt München - Münchner Sozialatlas,2023
20,Pasing-Obermenzing,3.7,Statistisches Amt München - Münchner Sozialatlas,2023
21,Aubing-Lochhausen-Langwied,5.3,Statistisches Amt München - Münchner Sozialatlas,2023
22,Allach-Untermenzing,4.2,Statistisches Amt München - Münchner Sozialatlas,2023
23,Feldmoching-Hasenbergl,7.1,Statistisches Amt München - Münchner Sozialatlas,2023
24,Laim,5.4,Statistisches Amt München - Münchner Sozialatlas,2023
25,Maxvorstadt-West,3.9,Statistisches Amt München - Münchner Sozialatlas,2023
