district_id,district_name,avg_rent_eur,property_type,source,year
1,Altstadt-Lehel,2100,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
2,Maxvorstadt,1950,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
3,Schwabing-West,1850,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
4,Schwabing-Freimann,1750,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
5,Au-Haidhausen,1800,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
6,Sendling,1550,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
7,Sendling-Westpark,1500,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
8,Schwanthalerhöhe,1650,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
9,Neuhausen-Nymphenburg,1900,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
10,Moosach,1450,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
11,Milbertshofen-Am Hart,1400,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
12,Bogenhausen,2050,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
13,Berg am Laim,1350,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
14,Trudering-Riem,1300,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
15,Ramersdorf-Perlach,1380,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
16,Obergiesing-Fasangarten,1420,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
17,Untergiesing-Harlaching,1600,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
18,Thalkirchen-Obersendling-Forstenried,1680,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
19,Hadern,1550,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
20,Pasing-Obermenzing,1480,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
21,Aubing-Lochhausen-Langwied,1250,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
22,Allach-Untermenzing,1200,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
23,Feldmoching-Hasenbergl,1180,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
24,Laim,1420,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
25,Maxvorstadt-West,1750,1-bedroom apartment,Immoscout24 Munich Rental Market Report,2024
